ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,1.570796326794896274e-04,-9.794841972265039942e+00
0.000000000000000000e+00,2.984513020910303381e-04,-9.794841972265039942e+00
0.000000000000000000e+00,4.256858045614169209e-04,-9.794841972265039942e+00
0.000000000000000000e+00,5.401968567847648291e-04,-9.794841972265039942e+00
0.000000000000000000e+00,6.432568037857780982e-04,-9.794841972265039942e+00
0.000000000000000000e+00,7.360107560866899429e-04,-9.794841972265039942e+00
0.000000000000000000e+00,8.194893131575105164e-04,-9.794841972265039942e+00
0.000000000000000000e+00,8.946200145212490542e-04,-9.794841972265039942e+00
0.000000000000000000e+00,9.622376457486138792e-04,-9.794841972265039942e+00
0.000000000000000000e+00,1.023093513853242167e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.077863795147407638e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.127157048312156301e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.171520976160430379e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.211448511223876985e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.247383292780978844e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.279724596182370494e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.308831769243623327e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.335028224998750573e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.358605035178365138e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.379824164340018354e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.398921380585506054e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.416108875206445201e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.431577620365290238e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.445499491008250814e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.458029174586915463e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.469305889807713582e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.479454933506431933e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.488589072835278188e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.496809798231239991e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.504208451087605787e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.510867238658335004e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.516860147471991299e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.522253765404281726e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.527108021543343392e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.531476852068498588e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.535408799541138417e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.538947552266514132e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.542132429719352210e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.544998819426906872e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.547578570163705720e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.549900345826824965e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.551989943923632112e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.553870582210758501e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.555563156669172251e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.557086473681744713e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.558457458993059994e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.559691345773243573e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.560801843875409120e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.561801292167357830e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.562700795630111474e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.563510348746589926e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.564238946551420708e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.564894684575768302e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.565484848797681029e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.566015996597402721e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.566494029617152136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.566924259334926501e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.567311466080923473e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.567659952152320856e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.567973589616578284e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.568255863334410208e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.568509909680458831e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.568738551391902700e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.568944328932202290e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.569129528718471835e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.569296208526114317e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.569446220352992529e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.569581230997182985e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.569702740576954221e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.569812099198748465e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.569910521958363349e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.569999102442016766e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570078824877304841e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570150575069063957e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570215150241647270e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570273267896972252e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570325573786764649e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570372649087577741e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570415016858309589e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570453147851968165e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570487465746260971e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570518351851124539e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570546149345501815e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570571167090441299e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570593683060886835e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570613947434287925e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570632185370348603e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570648599512803343e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570663372241012674e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570676667696401007e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570688633606250571e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570699402925115201e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570709095312093065e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570717818460373380e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570725669293825686e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570732735043932652e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570739094219029096e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570744817476615917e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570749968408443904e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570754604247089157e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570758776501869972e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570762531531172661e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570765911057545169e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570768952631280231e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570771690047641743e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570774153722367126e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570776371029619861e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570778366606147671e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570780162625022526e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570781779042009982e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570783233817298714e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570784543115058335e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570785721483042036e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570786782014227476e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570787736492294372e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570788595522554492e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570789368649788817e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570790064464299427e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570790690697358976e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570791254307112896e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570791761555891250e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570792218079791747e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570792628951302172e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570792998735661772e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570793331541585000e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570793631066916404e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570793900639714299e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570794143255232469e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570794361609198888e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570794558127768534e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570794734994481216e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570794894174522977e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570795037436560192e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570795166372393773e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570795282414644018e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570795386852669303e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570795480846891865e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570795565441692214e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570795641577012701e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570795710098800988e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570795771768410511e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570795827271058995e-03,-9.794841972265039942e+00
