ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
0.000000000000000000e+00,0.000000000000000000e+00,8.999999999999999112e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.709999999999999742e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.438999999999999613e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.095099999999999518e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.685589999999999922e+00
0.000000000000000000e+00,0.000000000000000000e+00,4.217030999999999530e+00
0.000000000000000000e+00,0.000000000000000000e+00,4.695327899999999666e+00
0.000000000000000000e+00,0.000000000000000000e+00,5.125795109999999433e+00
0.000000000000000000e+00,0.000000000000000000e+00,5.513215598999999578e+00
0.000000000000000000e+00,0.000000000000000000e+00,5.861894039099999176e+00
0.000000000000000000e+00,0.000000000000000000e+00,6.175704635189998903e+00
0.000000000000000000e+00,0.000000000000000000e+00,6.458134171670999457e+00
0.000000000000000000e+00,0.000000000000000000e+00,6.712320754503898534e+00
0.000000000000000000e+00,0.000000000000000000e+00,6.941088679053509125e+00
0.000000000000000000e+00,0.000000000000000000e+00,7.146979811148157502e+00
0.000000000000000000e+00,0.000000000000000000e+00,7.332281830033341663e+00
0.000000000000000000e+00,0.000000000000000000e+00,7.499053647030008207e+00
0.000000000000000000e+00,0.000000000000000000e+00,7.649148282327006498e+00
0.000000000000000000e+00,0.000000000000000000e+00,7.784233454094306559e+00
0.000000000000000000e+00,0.000000000000000000e+00,7.905810108684875992e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.015229097816387593e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.113706188034749189e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.202335569231273382e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.282102012308145689e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.353891811077330587e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.418502629969598416e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.476652366972638575e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.528987130275375250e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.576088417247836659e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.618479575523053882e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.656631617970749204e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.690968456173674639e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.721871610556306109e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.749684449500676919e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.774716004550608517e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.797244404095547310e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.817519963685992224e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.835767967317393001e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.852191170585653524e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.866972053527089059e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.880274848174380509e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.892247363356942103e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.903022627021247359e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.912720364319122623e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.921448327887210539e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.929303495098489307e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.936373145588641265e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.942735831029777316e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.948462247926798341e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.953616023134118862e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.958254420820706443e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.962428978738635976e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.966186080864773089e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.969567472778296136e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.972610725500466344e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.975349652950418644e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.977814687655376602e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.980033218889838409e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.982029897000854746e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.983826907300770159e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.985444216570693143e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.986899794913624007e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.988209815422262494e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.989388833880036955e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.990449950492033437e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.991404955442829916e+00
